feature,mean_abs_shap
PAST_CHRONIC_CONDITION_COUNT_12M,0.8394561
PAST_HEALTHCARE_UTILIZATION_12M,0.7087666
PAST_ED_VISIT_COUNT_12M,0.5510571
PAST_CLINICAL_BURDEN_12M,0.43581992
PAST_INPATIENT_COUNT_12M,0.42289093
PAST_PROCEDURE_COUNT_12M,0.34461808
COUNTY_Orange County,0.2042966
PAST_ENCOUNTER_COUNT_12M,0.13388717
PAST_MEDICATION_COUNT_12M,0.13355778
GENDER_F,0.12371409
PAST_B_CHRONIC_CONDITION_COUNT,0.11189226
COUNTY_San Diego County,0.108940706
PAST_CONDITION_COUNT_12M,0.10705668
PAST_A_CHRONIC_CONDITION_COUNT,0.09374196
PAST_A_ED_VISIT_COUNT,0.08787689
PAST_B_CLINICAL_BURDEN,0.08678676
COUNTY_Alameda County,0.07820578
PAST_B_PROCEDURE_COUNT,0.07794121
COUNTY_Sacramento County,0.0729015
PAST_B_ED_VISIT_COUNT,0.072313786
PAST_A_OBSERVATION_COUNT,0.07048178
PAST_B_MEDICATION_COUNT,0.06705286
PAST_OBSERVATION_COUNT_12M,0.066320345
PAST_B_CONDITION_COUNT,0.04419246
PAST_A_MEDICATION_COUNT,0.042622153
PAST_A_PROCEDURE_COUNT,0.040427532
COUNTY_San Francisco County,0.03973785
PAST_A_HEALTHCARE_UTILIZATION,0.038556464
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.030988608
PAST_A_CLINICAL_BURDEN,0.029115483
PAST_B_INPATIENT_COUNT,0.027384652
COUNTY_Los Angeles County,0.024195552
COUNTY_Santa Clara County,0.021674354
PAST_A_INPATIENT_COUNT,0.020017419
PAST_B_OBSERVATION_COUNT,0.019241178
PAST_B_ENCOUNTER_COUNT,0.018880142
COUNTY_Riverside County,0.018427646
GROWTH_CONDITION_COUNT,0.017356649
CHANGE_CHRONIC_CONDITION_COUNT,0.016649542
PAST_A_ENCOUNTER_COUNT,0.016581265
PAST_A_CONDITION_COUNT,0.01641592
GROWTH_PROCEDURE_COUNT,0.015883613
CHANGE_ENCOUNTER_COUNT,0.01479554
PAST_OUTPATIENT_COUNT_12M,0.01473412
PAST_A_OUTPATIENT_COUNT,0.014125486
CHANGE_CLINICAL_BURDEN,0.013607546
PAST_B_HEALTHCARE_UTILIZATION,0.012561791
GROWTH_HEALTHCARE_UTILIZATION,0.011833143
CHANGE_PROCEDURE_COUNT,0.011462913
CHANGE_OBSERVATION_COUNT,0.011164448
GROWTH_ENCOUNTER_COUNT,0.011149323
COUNTY_San Bernardino County,0.0110236155
COUNTY_Contra Costa County,0.0099122515
GROWTH_CLINICAL_BURDEN,0.009487861
CHANGE_CONDITION_COUNT,0.008976729
GENDER_M,0.008689173
PAST_B_OUTPATIENT_COUNT,0.007917411
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.0077850074
GROWTH_OBSERVATION_COUNT,0.007585315
GROWTH_CHRONIC_CONDITION_COUNT,0.0068945955
GROWTH_MEDICATION_COUNT,0.0061372495
CHANGE_HEALTHCARE_UTILIZATION,0.005074151
CHANGE_MEDICATION_COUNT,0.003310223
COUNTY_Kern County,0.00091814774
STATE_California,0.0
COUNTY_Fresno County,0.0
COUNTY_Ventura County,0.0
