feature,mean_abs_shap
PAST_CLINICAL_BURDEN_12M,0.5308744
PAST_CONDITION_COUNT_12M,0.2689132
PAST_CHRONIC_CONDITION_COUNT_12M,0.22232667
PAST_OBSERVATION_COUNT_12M,0.10688928
PAST_B_CHRONIC_CONDITION_COUNT,0.059808753
PAST_MEDICATION_COUNT_12M,0.041654415
PAST_PROCEDURE_COUNT_12M,0.037794
PAST_A_MEDICATION_COUNT,0.033817984
PAST_A_CHRONIC_CONDITION_COUNT,0.025388474
PAST_ENCOUNTER_COUNT_12M,0.023695843
PAST_B_CONDITION_COUNT,0.023442205
PAST_A_CONDITION_COUNT,0.019976493
PAST_A_PROCEDURE_COUNT,0.019078894
PAST_HEALTHCARE_UTILIZATION_12M,0.018665472
PAST_B_CLINICAL_BURDEN,0.017475365
PAST_A_OBSERVATION_COUNT,0.0122062545
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.010858286
PAST_A_ENCOUNTER_COUNT,0.010022781
PAST_B_PROCEDURE_COUNT,0.009808592
PAST_B_HEALTHCARE_UTILIZATION,0.009499847
PAST_A_HEALTHCARE_UTILIZATION,0.008307652
PAST_B_OBSERVATION_COUNT,0.00808151
PAST_OUTPATIENT_COUNT_12M,0.0071032783
PAST_B_ENCOUNTER_COUNT,0.0070190514
PAST_B_MEDICATION_COUNT,0.006935224
PAST_A_CLINICAL_BURDEN,0.005779449
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.0045744055
GROWTH_HEALTHCARE_UTILIZATION,0.003463918
GROWTH_CLINICAL_BURDEN,0.003433978
GROWTH_PROCEDURE_COUNT,0.0029485181
COUNTY_Suffolk County,0.002809397
CHANGE_ENCOUNTER_COUNT,0.0027452123
GROWTH_MEDICATION_COUNT,0.0025489945
CHANGE_PROCEDURE_COUNT,0.0025370829
CHANGE_HEALTHCARE_UTILIZATION,0.0023342257
CHANGE_OBSERVATION_COUNT,0.0022941334
PAST_B_OUTPATIENT_COUNT,0.0022420657
CHANGE_CLINICAL_BURDEN,0.0022100427
CHANGE_MEDICATION_COUNT,0.0016844687
GROWTH_CONDITION_COUNT,0.0014526577
PAST_A_OUTPATIENT_COUNT,0.0013448322
COUNTY_Worcester County,0.0013177748
GROWTH_CHRONIC_CONDITION_COUNT,0.0013020544
GROWTH_OBSERVATION_COUNT,0.0011648532
PAST_INPATIENT_COUNT_12M,0.0010545109
PAST_B_INPATIENT_COUNT,0.00084123877
PAST_ED_VISIT_COUNT_12M,0.0006603087
GROWTH_ENCOUNTER_COUNT,0.0006256738
PAST_B_ED_VISIT_COUNT,0.00044055795
PAST_A_ED_VISIT_COUNT,0.00035586304
PAST_A_INPATIENT_COUNT,0.00018942908
COUNTY_Plymouth County,0.0001737455
COUNTY_Hampshire County,0.00017338793
COUNTY_Dukes County,0.00015890446
CHANGE_CHRONIC_CONDITION_COUNT,0.0
CHANGE_CONDITION_COUNT,0.0
GENDER_F,0.0
STATE_California,0.0
GENDER_M,0.0
COUNTY_Essex County,0.0
COUNTY_Bristol County,0.0
COUNTY_Berkshire County,0.0
COUNTY_Barnstable County,0.0
COUNTY_Middlesex County,0.0
COUNTY_Hampden County,0.0
COUNTY_Franklin County,0.0
COUNTY_Norfolk County,0.0
