feature,mean_abs_shap
PAST_PROCEDURE_COUNT_12M,0.4955233
PAST_MEDICATION_COUNT_12M,0.45719156
PAST_HEALTHCARE_UTILIZATION_12M,0.26330715
PAST_CLINICAL_BURDEN_12M,0.25890222
PAST_A_MEDICATION_COUNT,0.17705832
PAST_ENCOUNTER_COUNT_12M,0.10843385
PAST_A_PROCEDURE_COUNT,0.1008942
PAST_B_MEDICATION_COUNT,0.06436296
PAST_A_OUTPATIENT_COUNT,0.06081367
PAST_OUTPATIENT_COUNT_12M,0.05944961
PAST_A_HEALTHCARE_UTILIZATION,0.05903224
PAST_A_CLINICAL_BURDEN,0.05653557
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.055403173
PAST_A_ENCOUNTER_COUNT,0.043043055
PAST_B_HEALTHCARE_UTILIZATION,0.039687153
PAST_B_CLINICAL_BURDEN,0.038571473
PAST_B_PROCEDURE_COUNT,0.037267275
PAST_B_ENCOUNTER_COUNT,0.033173118
PAST_CONDITION_COUNT_12M,0.029454818
PAST_B_CONDITION_COUNT,0.024101298
GROWTH_OBSERVATION_COUNT,0.0222908
GROWTH_PROCEDURE_COUNT,0.021163642
GROWTH_ENCOUNTER_COUNT,0.021047996
PAST_B_OBSERVATION_COUNT,0.020583529
CHANGE_CLINICAL_BURDEN,0.018707588
GENDER_F,0.01668412
GROWTH_CHRONIC_CONDITION_COUNT,0.016527599
PAST_INPATIENT_COUNT_12M,0.016515845
PAST_A_CHRONIC_CONDITION_COUNT,0.016506858
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.016000222
CHANGE_OBSERVATION_COUNT,0.015784204
PAST_A_CONDITION_COUNT,0.014336028
PAST_CHRONIC_CONDITION_COUNT_12M,0.014243934
GROWTH_CLINICAL_BURDEN,0.013791887
PAST_A_OBSERVATION_COUNT,0.013291798
GROWTH_HEALTHCARE_UTILIZATION,0.013019904
CHANGE_ENCOUNTER_COUNT,0.012513983
PAST_B_OUTPATIENT_COUNT,0.011259152
GROWTH_CONDITION_COUNT,0.010649228
CHANGE_MEDICATION_COUNT,0.010086716
CHANGE_CONDITION_COUNT,0.010057198
COUNTY_Orange County,0.009431024
CHANGE_PROCEDURE_COUNT,0.009409033
PAST_OBSERVATION_COUNT_12M,0.009269723
PAST_B_CHRONIC_CONDITION_COUNT,0.008180384
CHANGE_CHRONIC_CONDITION_COUNT,0.007271152
CHANGE_HEALTHCARE_UTILIZATION,0.0071219085
PAST_ED_VISIT_COUNT_12M,0.006551613
COUNTY_San Diego County,0.0064784717
GENDER_M,0.0060721533
GROWTH_MEDICATION_COUNT,0.0053381235
PAST_B_INPATIENT_COUNT,0.004321417
COUNTY_Contra Costa County,0.0035449255
COUNTY_San Francisco County,0.0033609234
COUNTY_Alameda County,0.003312254
COUNTY_San Bernardino County,0.003062544
PAST_A_INPATIENT_COUNT,0.002752529
COUNTY_Los Angeles County,0.0026601446
COUNTY_Santa Clara County,0.0023573188
COUNTY_Sacramento County,0.002354817
PAST_A_ED_VISIT_COUNT,0.0018313944
COUNTY_Riverside County,0.0018157918
PAST_B_ED_VISIT_COUNT,0.0014084518
COUNTY_Kern County,0.0013807456
COUNTY_Fresno County,0.00026447076
STATE_California,0.0
COUNTY_Ventura County,0.0
