feature,mean_abs_shap
PAST_HEALTHCARE_UTILIZATION_12M,0.44816998
PAST_ED_VISIT_COUNT_12M,0.26210395
PAST_OUTPATIENT_COUNT_12M,0.22462362
PAST_ENCOUNTER_COUNT_12M,0.123764396
PAST_INPATIENT_COUNT_12M,0.11012754
PAST_PROCEDURE_COUNT_12M,0.108503036
PAST_A_OUTPATIENT_COUNT,0.09098811
PAST_A_PROCEDURE_COUNT,0.063217774
PAST_A_ED_VISIT_COUNT,0.04598459
PAST_B_OUTPATIENT_COUNT,0.045658156
PAST_B_HEALTHCARE_UTILIZATION,0.04119575
PAST_B_CLINICAL_BURDEN,0.039748073
PAST_B_PROCEDURE_COUNT,0.03834066
PAST_B_ED_VISIT_COUNT,0.033463392
PAST_CHRONIC_CONDITION_COUNT_12M,0.03185858
PAST_A_HEALTHCARE_UTILIZATION,0.029529152
GENDER_F,0.027403645
PAST_B_CHRONIC_CONDITION_COUNT,0.02313063
PAST_A_OBSERVATION_COUNT,0.021384986
CHANGE_CHRONIC_CONDITION_COUNT,0.020861652
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.019725077
PAST_A_ENCOUNTER_COUNT,0.019016353
PAST_CLINICAL_BURDEN_12M,0.0178645
PAST_A_CHRONIC_CONDITION_COUNT,0.017418878
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.016608877
PAST_A_INPATIENT_COUNT,0.015196955
PAST_CONDITION_COUNT_12M,0.015120071
COUNTY_Orange County,0.015119078
PAST_B_MEDICATION_COUNT,0.015104397
PAST_A_CLINICAL_BURDEN,0.01402054
CHANGE_OBSERVATION_COUNT,0.013851931
GROWTH_HEALTHCARE_UTILIZATION,0.013420912
PAST_B_CONDITION_COUNT,0.012682814
GROWTH_OBSERVATION_COUNT,0.0126519445
PAST_OBSERVATION_COUNT_12M,0.01259289
GROWTH_CONDITION_COUNT,0.011591098
GROWTH_MEDICATION_COUNT,0.011235238
CHANGE_HEALTHCARE_UTILIZATION,0.010949694
GROWTH_ENCOUNTER_COUNT,0.01074934
PAST_A_CONDITION_COUNT,0.010554894
PAST_B_OBSERVATION_COUNT,0.010359728
GROWTH_PROCEDURE_COUNT,0.010162847
COUNTY_Sacramento County,0.010088232
GROWTH_CLINICAL_BURDEN,0.00978473
CHANGE_CLINICAL_BURDEN,0.0091991555
PAST_MEDICATION_COUNT_12M,0.009102157
CHANGE_PROCEDURE_COUNT,0.007843929
GROWTH_CHRONIC_CONDITION_COUNT,0.007488624
PAST_A_MEDICATION_COUNT,0.0070240186
CHANGE_ENCOUNTER_COUNT,0.006759377
PAST_B_ENCOUNTER_COUNT,0.006038575
COUNTY_Los Angeles County,0.0054136887
CHANGE_CONDITION_COUNT,0.004963182
COUNTY_San Bernardino County,0.0045673307
CHANGE_MEDICATION_COUNT,0.004370696
COUNTY_San Diego County,0.0033948957
COUNTY_San Francisco County,0.0031410432
GENDER_M,0.0030723878
COUNTY_Santa Clara County,0.002485249
COUNTY_Alameda County,0.0023845334
COUNTY_Riverside County,0.002046815
COUNTY_Kern County,0.0013692923
PAST_B_INPATIENT_COUNT,0.000544358
COUNTY_Ventura County,0.0005315305
COUNTY_Contra Costa County,0.00030169336
COUNTY_Fresno County,0.0
STATE_California,0.0
