feature,psi,ks_stat,ks_pvalue,status
PAST_CLINICAL_BURDEN_12M,0.5413,0.2733,0.0,CRITICAL
PAST_MEDICATION_COUNT_12M,0.5228,0.1607,0.0,CRITICAL
PAST_CHRONIC_CONDITION_COUNT_12M,0.4752,0.2834,0.0,CRITICAL
PAST_A_CLINICAL_BURDEN,0.4092,0.2519,0.0,CRITICAL
PAST_CONDITION_COUNT_12M,0.3885,0.2711,0.0,CRITICAL
PAST_B_CLINICAL_BURDEN,0.3751,0.2556,0.0,CRITICAL
PAST_B_CHRONIC_CONDITION_COUNT,0.3745,0.2478,0.0,CRITICAL
PAST_A_CHRONIC_CONDITION_COUNT,0.3535,0.2413,0.0,CRITICAL
PAST_B_CONDITION_COUNT,0.3245,0.2378,0.0,CRITICAL
PAST_HEALTHCARE_UTILIZATION_12M,0.3085,0.2414,0.0,CRITICAL
PAST_A_CONDITION_COUNT,0.2968,0.2301,0.0,CRITICAL
PAST_A_HEALTHCARE_UTILIZATION,0.2829,0.2277,0.0,CRITICAL
PAST_B_HEALTHCARE_UTILIZATION,0.2444,0.2093,0.0,WARNING
PAST_ENCOUNTER_COUNT_12M,0.2236,0.2069,0.0,WARNING
PAST_A_ENCOUNTER_COUNT,0.1956,0.1888,0.0,WARNING
PAST_B_ENCOUNTER_COUNT,0.1672,0.1768,0.0,WARNING
CHANGE_CLINICAL_BURDEN,0.1603,0.0958,0.0,WARNING
CHANGE_CHRONIC_CONDITION_COUNT,0.1409,0.0927,0.0,WARNING
PAST_B_MEDICATION_COUNT,0.138,0.1442,0.0,WARNING
CHANGE_CONDITION_COUNT,0.1335,0.0959,0.0,WARNING
CHANGE_HEALTHCARE_UTILIZATION,0.1249,0.0928,0.0,WARNING
PAST_A_MEDICATION_COUNT,0.1238,0.134,0.0,WARNING
CHANGE_ENCOUNTER_COUNT,0.0924,0.0803,0.0,STABLE
GROWTH_MEDICATION_COUNT,0.0708,0.0429,0.016176,STABLE
CHANGE_MEDICATION_COUNT,0.0589,0.0685,9e-06,STABLE
GROWTH_HEALTHCARE_UTILIZATION,0.0231,0.0598,0.000176,STABLE
CHANGE_PROCEDURE_COUNT,0.0222,0.0425,0.017677,STABLE
GROWTH_CHRONIC_CONDITION_COUNT,0.021,0.0262,0.327146,STABLE
PAST_B_PROCEDURE_COUNT,0.0198,0.0223,0.530221,STABLE
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.0193,0.0512,0.0021,STABLE
GROWTH_PROCEDURE_COUNT,0.0172,0.0549,0.000745,STABLE
GROWTH_ENCOUNTER_COUNT,0.017,0.0414,0.022422,STABLE
PAST_A_OBSERVATION_COUNT,0.0154,0.0256,0.353585,STABLE
PAST_B_OBSERVATION_COUNT,0.0145,0.0273,0.281904,STABLE
GROWTH_CONDITION_COUNT,0.0144,0.0391,0.036635,STABLE
GROWTH_OBSERVATION_COUNT,0.0142,0.0326,0.122339,STABLE
PAST_A_PROCEDURE_COUNT,0.0107,0.0279,0.256222,STABLE
CHANGE_OBSERVATION_COUNT,0.0101,0.0248,0.393747,STABLE
PAST_PROCEDURE_COUNT_12M,0.0087,0.0251,0.379022,STABLE
PAST_OBSERVATION_COUNT_12M,0.0082,0.0231,0.481538,STABLE
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.0042,0.0212,0.596694,STABLE
GROWTH_CLINICAL_BURDEN,0.004,0.0254,0.364087,STABLE
PAST_A_OUTPATIENT_COUNT,0.0032,0.0202,0.655576,STABLE
PAST_OUTPATIENT_COUNT_12M,0.0025,0.0188,0.73769,STABLE
PAST_B_OUTPATIENT_COUNT,0.0017,0.0195,0.69967,STABLE
PAST_ED_VISIT_COUNT_12M,0.001,0.0068,1.0,STABLE
PAST_A_ED_VISIT_COUNT,0.0004,0.0082,0.999989,STABLE
PAST_INPATIENT_COUNT_12M,0.0001,0.0064,1.0,STABLE
PAST_B_ED_VISIT_COUNT,0.0001,0.0039,1.0,STABLE
PAST_B_INPATIENT_COUNT,0.0,0.0082,0.999991,STABLE
PAST_A_INPATIENT_COUNT,0.0,0.0038,1.0,STABLE
GENDER_F,0.0,0.0024,1.0,STABLE
GENDER_M,0.0,0.0024,1.0,STABLE
STATE_California,0.0,0.0,1.0,STABLE
COUNTY_Barnstable County,0.0,0.0008,1.0,STABLE
COUNTY_Berkshire County,0.0,0.0053,1.0,STABLE
COUNTY_Bristol County,0.0,0.006,1.0,STABLE
COUNTY_Dukes County,0.0,0.0019,1.0,STABLE
COUNTY_Essex County,0.0,0.0191,0.72112,STABLE
COUNTY_Franklin County,0.0,0.0005,1.0,STABLE
COUNTY_Hampden County,0.0,0.0086,0.999968,STABLE
COUNTY_Hampshire County,0.0,0.0028,1.0,STABLE
COUNTY_Middlesex County,0.0,0.0075,0.999999,STABLE
COUNTY_Norfolk County,0.0,0.0074,0.999999,STABLE
COUNTY_Plymouth County,0.0,0.0062,1.0,STABLE
COUNTY_Suffolk County,0.0,0.0085,0.999977,STABLE
COUNTY_Worcester County,0.0,0.0341,0.094881,STABLE
