feature,importance
CURRENT_CLINICAL_BURDEN_12M,0.25082773
PAST_CLINICAL_BURDEN_12M,0.0660079
CURRENT_PROCEDURE_COUNT_12M,0.03690699
CHANGE_CLINICAL_BURDEN,0.036182225
CURRENT_HEALTHCARE_UTILIZATION_12M,0.032944962
CURRENT_ENCOUNTER_COUNT_12M,0.020888971
CHANGE_MEDICATION,0.018211195
CURRENT_CHRONIC_CONDITION_COUNT_12M,0.017669775
CURRENT_OBSERVATION_COUNT_12M,0.017340293
CHANGE_HEALTHCARE_UTILIZATION,0.016600773
PAST_CHRONIC_CONDITION_COUNT_12M,0.015637245
CURRENT_MEDICATION_COUNT_12M,0.015420725
CHANGE_CONDITION,0.013815527
CURRENT_CONDITION_COUNT_12M,0.013575297
CURRENT_OUTPATIENT_COUNT_12M,0.013390588
PAST_PROCEDURE_COUNT_12M,0.012860688
CHANGE_ENCOUNTER,0.012174515
GENDER_M,0.012168626
PAST_MEDICATION_COUNT_12M,0.011831587
CURRENT_INPATIENT_COUNT_12M,0.011817921
CHANGE_PROCEDURE,0.011815633
PAST_ENCOUNTER_COUNT_12M,0.011239137
PAST_CONDITION_COUNT_12M,0.011162781
COUNTY_Dukes County,0.010992219
CHANGE_OBSERVATION,0.010762293
COUNTY_Norfolk County,0.010757576
COUNTY_Worcester County,0.010755027
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.0107545545
CURRENT_MEDICATION_TO_ENCOUNTER_RATIO,0.010589184
GROWTH_CHRONIC_CONDITION,0.010556214
GROWTH_CONDITION,0.01055441
CURRENT_ED_VISIT_COUNT_12M,0.01045789
PAST_OBSERVATION_COUNT_12M,0.01032023
PAST_ED_VISIT_COUNT_12M,0.010244322
PAST_OUTPATIENT_COUNT_12M,0.010215826
GROWTH_ENCOUNTER,0.010207276
CHANGE_CHRONIC_CONDITION,0.010147625
GROWTH_PROCEDURE,0.010124963
GROWTH_MEDICATION,0.010088853
CURRENT_CONDITION_TO_ENCOUNTER_RATIO,0.010074973
COUNTY_Middlesex County,0.0100073945
COUNTY_Suffolk County,0.010001618
GROWTH_CLINICAL_BURDEN,0.009982616
GROWTH_HEALTHCARE_UTILIZATION,0.009726253
GROWTH_OBSERVATION,0.00969696
GENDER_F,0.009626474
PAST_HEALTHCARE_UTILIZATION_12M,0.009543398
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.009485061
PAST_INPATIENT_COUNT_12M,0.009167448
COUNTY_Plymouth County,0.008684296
COUNTY_Berkshire County,0.008561579
COUNTY_Essex County,0.0078443345
COUNTY_Hampshire County,0.007664548
COUNTY_Hampden County,0.007599017
COUNTY_Barnstable County,0.0073063374
COUNTY_Franklin County,0.0070081456
COUNTY_Bristol County,0.0
STATE_California,0.0
