feature,importance
CURRENT_CLINICAL_BURDEN_12M,0.28272554
CURRENT_OBSERVATION_COUNT_12M,0.04778574
CURRENT_HEALTHCARE_UTILIZATION_12M,0.045164626
CURRENT_CONDITION_COUNT_12M,0.03302432
PAST_CLINICAL_BURDEN_12M,0.029380733
CURRENT_MEDICATION_COUNT_12M,0.025990035
CURRENT_CHRONIC_CONDITION_COUNT_12M,0.025935557
CURRENT_PROCEDURE_COUNT_12M,0.02427923
CHANGE_CLINICAL_BURDEN,0.02196173
PAST_CHRONIC_CONDITION_COUNT_12M,0.017290575
CURRENT_ENCOUNTER_COUNT_12M,0.016210089
PAST_MEDICATION_COUNT_12M,0.014695173
CHANGE_HEALTHCARE_UTILIZATION,0.013735879
CHANGE_MEDICATION,0.011993597
CHANGE_ENCOUNTER,0.011616404
CURRENT_OUTPATIENT_COUNT_12M,0.0110643115
COUNTY_Worcester County,0.010836745
CURRENT_ED_VISIT_COUNT_12M,0.010800419
COUNTY_Bristol County,0.010554475
CHANGE_CHRONIC_CONDITION,0.010517333
CURRENT_INPATIENT_COUNT_12M,0.0104475785
PAST_OBSERVATION_COUNT_12M,0.01031051
PAST_CONDITION_COUNT_12M,0.010079435
PAST_PROCEDURE_COUNT_12M,0.010050328
CHANGE_PROCEDURE,0.010042044
PAST_HEALTHCARE_UTILIZATION_12M,0.010020607
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.009980028
PAST_OUTPATIENT_COUNT_12M,0.009957826
COUNTY_Suffolk County,0.009865436
CURRENT_MEDICATION_TO_ENCOUNTER_RATIO,0.009802219
GENDER_F,0.009732337
CHANGE_OBSERVATION,0.009572247
COUNTY_Essex County,0.009559993
PAST_ED_VISIT_COUNT_12M,0.009487423
GROWTH_CONDITION,0.009448703
CHANGE_CONDITION,0.009369056
GROWTH_OBSERVATION,0.009347533
PAST_ENCOUNTER_COUNT_12M,0.009203291
COUNTY_Hampshire County,0.009124986
GROWTH_MEDICATION,0.008935992
GROWTH_PROCEDURE,0.008889644
GENDER_M,0.008830028
GROWTH_CLINICAL_BURDEN,0.008687354
GROWTH_ENCOUNTER,0.008669034
COUNTY_Norfolk County,0.0086388225
GROWTH_CHRONIC_CONDITION,0.008588831
COUNTY_Hampden County,0.008523722
CURRENT_CONDITION_TO_ENCOUNTER_RATIO,0.008404184
GROWTH_HEALTHCARE_UTILIZATION,0.008183272
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.008136291
PAST_INPATIENT_COUNT_12M,0.007919369
COUNTY_Plymouth County,0.007843106
COUNTY_Middlesex County,0.00772411
COUNTY_Berkshire County,0.007387193
COUNTY_Barnstable County,0.00710998
COUNTY_Franklin County,0.0065650004
COUNTY_Dukes County,0.0
STATE_California,0.0
