feature,importance
CURRENT_CLINICAL_BURDEN_12M,0.27468193
PAST_CLINICAL_BURDEN_12M,0.07370562
CURRENT_HEALTHCARE_UTILIZATION_12M,0.03891008
CURRENT_CONDITION_COUNT_12M,0.03340577
CURRENT_OBSERVATION_COUNT_12M,0.028485801
CURRENT_CHRONIC_CONDITION_COUNT_12M,0.028341312
CURRENT_MEDICATION_COUNT_12M,0.020007519
CURRENT_ENCOUNTER_COUNT_12M,0.017825885
CHANGE_HEALTHCARE_UTILIZATION,0.0156256
CURRENT_OUTPATIENT_COUNT_12M,0.014548116
PAST_OUTPATIENT_COUNT_12M,0.013897982
CHANGE_CONDITION,0.013414203
PAST_HEALTHCARE_UTILIZATION_12M,0.013150073
CURRENT_PROCEDURE_COUNT_12M,0.01299474
PAST_MEDICATION_COUNT_12M,0.012088145
CHANGE_ENCOUNTER,0.011551224
CHANGE_MEDICATION,0.011246595
PAST_CHRONIC_CONDITION_COUNT_12M,0.011228949
PAST_ED_VISIT_COUNT_12M,0.01119325
COUNTY_Essex County,0.011121289
COUNTY_Norfolk County,0.010991428
COUNTY_Suffolk County,0.010978923
CURRENT_ED_VISIT_COUNT_12M,0.010536796
CHANGE_CHRONIC_CONDITION,0.0105012525
CHANGE_CLINICAL_BURDEN,0.010499973
COUNTY_Hampshire County,0.010426569
PAST_OBSERVATION_COUNT_12M,0.010407326
CHANGE_OBSERVATION,0.010184381
COUNTY_Hampden County,0.010180579
COUNTY_Bristol County,0.010058738
PAST_CONDITION_COUNT_12M,0.01003804
PAST_ENCOUNTER_COUNT_12M,0.009913329
PAST_PROCEDURE_COUNT_12M,0.0098444
GROWTH_ENCOUNTER,0.009804852
CURRENT_MEDICATION_TO_ENCOUNTER_RATIO,0.009645022
GROWTH_CONDITION,0.009607211
CURRENT_CONDITION_TO_ENCOUNTER_RATIO,0.009360019
COUNTY_Plymouth County,0.009290753
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.009253782
GROWTH_HEALTHCARE_UTILIZATION,0.009226089
GROWTH_MEDICATION,0.009189865
COUNTY_Middlesex County,0.009134491
GROWTH_PROCEDURE,0.0090995375
GROWTH_OBSERVATION,0.008968245
GROWTH_CLINICAL_BURDEN,0.00890422
CURRENT_INPATIENT_COUNT_12M,0.008806545
CHANGE_PROCEDURE,0.00879573
GROWTH_CHRONIC_CONDITION,0.008785187
PAST_INPATIENT_COUNT_12M,0.00875857
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.008720358
COUNTY_Barnstable County,0.008598492
COUNTY_Berkshire County,0.008365455
COUNTY_Worcester County,0.008316092
GENDER_F,0.0074561466
GENDER_M,0.005294525
COUNTY_Franklin County,0.0046330346
COUNTY_Dukes County,0.0
STATE_California,0.0
