feature,mean_absolute_shap
CURRENT_CLINICAL_BURDEN_12M,0.5628315
CURRENT_PROCEDURE_COUNT_12M,0.10823545
CURRENT_HEALTHCARE_UTILIZATION_12M,0.10743493
PAST_CHRONIC_CONDITION_COUNT_12M,0.10072152
CHANGE_CLINICAL_BURDEN,0.08948401
PAST_CLINICAL_BURDEN_12M,0.077098824
CURRENT_CHRONIC_CONDITION_COUNT_12M,0.0659141
CURRENT_OBSERVATION_COUNT_12M,0.058985513
CURRENT_OUTPATIENT_COUNT_12M,0.057154574
CHANGE_CONDITION,0.054018155
GROWTH_CONDITION,0.0526504
CURRENT_ENCOUNTER_COUNT_12M,0.048375722
CURRENT_CONDITION_TO_ENCOUNTER_RATIO,0.04612188
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.045577697
CURRENT_INPATIENT_COUNT_12M,0.043350756
CHANGE_MEDICATION,0.042910177
CHANGE_HEALTHCARE_UTILIZATION,0.03964471
GROWTH_MEDICATION,0.038893633
GROWTH_ENCOUNTER,0.038227312
GROWTH_CLINICAL_BURDEN,0.037711896
CURRENT_MEDICATION_TO_ENCOUNTER_RATIO,0.03602664
GROWTH_HEALTHCARE_UTILIZATION,0.03474083
CHANGE_OBSERVATION,0.034280155
GROWTH_CHRONIC_CONDITION,0.033734232
GROWTH_OBSERVATION,0.031481557
GROWTH_PROCEDURE,0.03059271
CHANGE_PROCEDURE,0.03056597
CHANGE_CHRONIC_CONDITION,0.028694566
CURRENT_CONDITION_COUNT_12M,0.027149163
CURRENT_ED_VISIT_COUNT_12M,0.023481209
PAST_PROCEDURE_COUNT_12M,0.023216948
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.022533264
PAST_OBSERVATION_COUNT_12M,0.021377932
PAST_CONDITION_COUNT_12M,0.020583449
PAST_OUTPATIENT_COUNT_12M,0.0196828
CURRENT_MEDICATION_COUNT_12M,0.018447783
CHANGE_ENCOUNTER,0.018164974
PAST_HEALTHCARE_UTILIZATION_12M,0.01774464
PAST_ENCOUNTER_COUNT_12M,0.013235863
GENDER_F,0.012762645
PAST_ED_VISIT_COUNT_12M,0.009804005
PAST_MEDICATION_COUNT_12M,0.009319063
COUNTY_Suffolk County,0.0038321684
COUNTY_Worcester County,0.003426287
COUNTY_Middlesex County,0.0033023572
COUNTY_Norfolk County,0.0023693177
GENDER_M,0.0021002558
COUNTY_Barnstable County,0.0014033804
PAST_INPATIENT_COUNT_12M,0.0013665346
COUNTY_Hampden County,0.00093221734
COUNTY_Essex County,0.00089168776
COUNTY_Dukes County,0.0007499804
COUNTY_Plymouth County,0.00059742737
COUNTY_Franklin County,0.00057716557
COUNTY_Hampshire County,0.00049896067
COUNTY_Berkshire County,0.00041678592
COUNTY_Bristol County,0.0
STATE_California,0.0
