feature,mean_absolute_shap
CURRENT_CLINICAL_BURDEN_12M,0.5890288
CURRENT_HEALTHCARE_UTILIZATION_12M,0.19437537
CURRENT_CHRONIC_CONDITION_COUNT_12M,0.16774684
PAST_CHRONIC_CONDITION_COUNT_12M,0.112552814
PAST_OBSERVATION_COUNT_12M,0.08365805
CHANGE_CLINICAL_BURDEN,0.0801166
CURRENT_PROCEDURE_COUNT_12M,0.07534344
CURRENT_ED_VISIT_COUNT_12M,0.07400016
CURRENT_MEDICATION_COUNT_12M,0.06660406
CURRENT_OBSERVATION_COUNT_12M,0.06471633
GROWTH_MEDICATION,0.063427456
CHANGE_HEALTHCARE_UTILIZATION,0.061640553
CURRENT_CONDITION_COUNT_12M,0.060482685
CURRENT_OUTPATIENT_COUNT_12M,0.056286395
PAST_CLINICAL_BURDEN_12M,0.055674776
CURRENT_INPATIENT_COUNT_12M,0.053871527
CURRENT_MEDICATION_TO_ENCOUNTER_RATIO,0.052208647
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.049251094
CHANGE_OBSERVATION,0.04757429
CHANGE_CONDITION,0.046583094
CHANGE_CHRONIC_CONDITION,0.046312638
GROWTH_HEALTHCARE_UTILIZATION,0.044650715
GROWTH_CHRONIC_CONDITION,0.043854695
GROWTH_CLINICAL_BURDEN,0.041749515
CURRENT_ENCOUNTER_COUNT_12M,0.04141552
GROWTH_OBSERVATION,0.04017188
CHANGE_MEDICATION,0.039365
GROWTH_PROCEDURE,0.032461703
GROWTH_CONDITION,0.0319929
CURRENT_CONDITION_TO_ENCOUNTER_RATIO,0.030893326
GROWTH_ENCOUNTER,0.029835269
PAST_PROCEDURE_COUNT_12M,0.029805984
CHANGE_ENCOUNTER,0.028075702
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.02339158
CHANGE_PROCEDURE,0.023101287
PAST_HEALTHCARE_UTILIZATION_12M,0.022087699
PAST_OUTPATIENT_COUNT_12M,0.019601623
PAST_ED_VISIT_COUNT_12M,0.019518051
COUNTY_Middlesex County,0.017953657
PAST_MEDICATION_COUNT_12M,0.017762072
PAST_ENCOUNTER_COUNT_12M,0.015526883
PAST_CONDITION_COUNT_12M,0.013025626
PAST_INPATIENT_COUNT_12M,0.010550716
COUNTY_Bristol County,0.005489718
GENDER_F,0.0044342126
COUNTY_Suffolk County,0.003714087
COUNTY_Norfolk County,0.00328593
COUNTY_Worcester County,0.0026126713
GENDER_M,0.0018826647
COUNTY_Berkshire County,0.0015090922
COUNTY_Hampden County,0.0012272684
COUNTY_Barnstable County,0.00087669655
COUNTY_Hampshire County,0.0007963785
COUNTY_Plymouth County,0.0006535292
COUNTY_Essex County,0.00045960443
COUNTY_Franklin County,0.0002882739
COUNTY_Dukes County,0.0
STATE_California,0.0
