feature,mean_absolute_shap
CURRENT_CLINICAL_BURDEN_12M,0.5304445
CURRENT_CHRONIC_CONDITION_COUNT_12M,0.17596912
CURRENT_HEALTHCARE_UTILIZATION_12M,0.12402087
GROWTH_ENCOUNTER,0.0860075
CURRENT_CONDITION_COUNT_12M,0.08438256
PAST_HEALTHCARE_UTILIZATION_12M,0.07051407
PAST_OUTPATIENT_COUNT_12M,0.070421696
PAST_CHRONIC_CONDITION_COUNT_12M,0.055381488
GROWTH_CONDITION,0.05409431
CURRENT_MEDICATION_COUNT_12M,0.052658934
CURRENT_OUTPATIENT_COUNT_12M,0.052583482
CHANGE_HEALTHCARE_UTILIZATION,0.05257036
CURRENT_ED_VISIT_COUNT_12M,0.051841605
GROWTH_PROCEDURE,0.05123752
PAST_CLINICAL_BURDEN_12M,0.05114991
CHANGE_CONDITION,0.050247144
CHANGE_CHRONIC_CONDITION,0.05009711
PAST_OBSERVATION_COUNT_12M,0.04819074
GROWTH_CLINICAL_BURDEN,0.044785235
CURRENT_MEDICATION_TO_ENCOUNTER_RATIO,0.04335958
CURRENT_ENCOUNTER_COUNT_12M,0.04046796
CHANGE_OBSERVATION,0.040312197
CURRENT_OBSERVATION_COUNT_12M,0.038804103
CHANGE_PROCEDURE,0.037207734
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.03416043
CURRENT_PROCEDURE_COUNT_12M,0.031321708
GROWTH_HEALTHCARE_UTILIZATION,0.031075388
CHANGE_MEDICATION,0.029784895
GROWTH_CHRONIC_CONDITION,0.02976639
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.02895877
GROWTH_MEDICATION,0.028052296
PAST_CONDITION_COUNT_12M,0.027820267
GROWTH_OBSERVATION,0.027671373
CHANGE_ENCOUNTER,0.025985798
CURRENT_CONDITION_TO_ENCOUNTER_RATIO,0.025913065
CHANGE_CLINICAL_BURDEN,0.023848953
PAST_PROCEDURE_COUNT_12M,0.02359227
PAST_ED_VISIT_COUNT_12M,0.02295425
PAST_MEDICATION_COUNT_12M,0.02089409
PAST_ENCOUNTER_COUNT_12M,0.0129259005
CURRENT_INPATIENT_COUNT_12M,0.00714844
COUNTY_Suffolk County,0.005388483
COUNTY_Middlesex County,0.0030368546
GENDER_F,0.0018997729
COUNTY_Hampden County,0.0018986919
PAST_INPATIENT_COUNT_12M,0.0018542678
COUNTY_Essex County,0.0014356556
COUNTY_Berkshire County,0.0013518933
COUNTY_Worcester County,0.001241078
COUNTY_Bristol County,0.00092501973
COUNTY_Norfolk County,0.00064771244
COUNTY_Hampshire County,0.00061781664
GENDER_M,0.00037173997
COUNTY_Barnstable County,0.00032623135
COUNTY_Franklin County,0.00029041446
COUNTY_Plymouth County,0.00021454312
COUNTY_Dukes County,0.0
STATE_California,0.0
