feature,mean_abs_shap
PAST_CHRONIC_CONDITION_COUNT_12M,0.9364389
PAST_HEALTHCARE_UTILIZATION_12M,0.72051877
PAST_ED_VISIT_COUNT_12M,0.6082379
PAST_CLINICAL_BURDEN_12M,0.4517804
PAST_INPATIENT_COUNT_12M,0.44630575
PAST_PROCEDURE_COUNT_12M,0.3466155
COUNTY_Worcester County,0.23342851
GENDER_F,0.14897996
PAST_MEDICATION_COUNT_12M,0.14086726
PAST_CONDITION_COUNT_12M,0.13954811
PAST_ENCOUNTER_COUNT_12M,0.13761587
PAST_A_CHRONIC_CONDITION_COUNT,0.12843676
PAST_B_CHRONIC_CONDITION_COUNT,0.121066146
COUNTY_Suffolk County,0.12082959
PAST_A_ED_VISIT_COUNT,0.10888749
PAST_B_PROCEDURE_COUNT,0.107426345
PAST_B_CLINICAL_BURDEN,0.101888224
PAST_OBSERVATION_COUNT_12M,0.09244485
COUNTY_Plymouth County,0.09104078
PAST_B_ED_VISIT_COUNT,0.090249896
COUNTY_Hampshire County,0.08360302
PAST_B_MEDICATION_COUNT,0.071116924
PAST_A_PROCEDURE_COUNT,0.06446942
PAST_A_OBSERVATION_COUNT,0.060073428
PAST_B_CONDITION_COUNT,0.056620054
PAST_A_HEALTHCARE_UTILIZATION,0.051873002
COUNTY_Berkshire County,0.049021993
GROWTH_CONDITION_COUNT,0.04514224
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.042575642
PAST_A_MEDICATION_COUNT,0.041749727
PAST_B_ENCOUNTER_COUNT,0.036650427
PAST_B_INPATIENT_COUNT,0.03600873
CHANGE_ENCOUNTER_COUNT,0.0341847
CHANGE_OBSERVATION_COUNT,0.034182787
CHANGE_PROCEDURE_COUNT,0.033707425
PAST_A_CONDITION_COUNT,0.031223651
PAST_A_CLINICAL_BURDEN,0.031205963
PAST_B_OBSERVATION_COUNT,0.031119138
COUNTY_Norfolk County,0.026655374
PAST_B_HEALTHCARE_UTILIZATION,0.026243001
PAST_A_INPATIENT_COUNT,0.025711251
GROWTH_ENCOUNTER_COUNT,0.02444153
PAST_OUTPATIENT_COUNT_12M,0.023041109
COUNTY_Hampden County,0.022945171
GROWTH_CLINICAL_BURDEN,0.022528173
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.02201406
COUNTY_Essex County,0.021274561
GROWTH_OBSERVATION_COUNT,0.020204559
GROWTH_HEALTHCARE_UTILIZATION,0.019929647
GROWTH_PROCEDURE_COUNT,0.019780317
CHANGE_CLINICAL_BURDEN,0.019545982
COUNTY_Bristol County,0.01948638
PAST_A_ENCOUNTER_COUNT,0.019056104
GROWTH_CHRONIC_CONDITION_COUNT,0.01824071
CHANGE_CHRONIC_CONDITION_COUNT,0.017301489
PAST_A_OUTPATIENT_COUNT,0.017286805
COUNTY_Middlesex County,0.0171891
GROWTH_MEDICATION_COUNT,0.01641427
GENDER_M,0.012460578
CHANGE_HEALTHCARE_UTILIZATION,0.01186428
CHANGE_MEDICATION_COUNT,0.00803913
CHANGE_CONDITION_COUNT,0.007865633
PAST_B_OUTPATIENT_COUNT,0.007718616
COUNTY_Barnstable County,0.0012187288
COUNTY_Franklin County,0.0011714015
COUNTY_Dukes County,0.0
STATE_California,0.0
