feature,mean_abs_shap
PAST_PROCEDURE_COUNT_12M,0.47506264
PAST_MEDICATION_COUNT_12M,0.4372003
PAST_CLINICAL_BURDEN_12M,0.25988552
PAST_HEALTHCARE_UTILIZATION_12M,0.2491289
PAST_A_MEDICATION_COUNT,0.1764563
PAST_A_PROCEDURE_COUNT,0.087883115
PAST_ENCOUNTER_COUNT_12M,0.08740795
PAST_OUTPATIENT_COUNT_12M,0.058411192
PAST_B_MEDICATION_COUNT,0.055306476
PAST_A_HEALTHCARE_UTILIZATION,0.044676162
PAST_B_CLINICAL_BURDEN,0.04034755
PAST_B_HEALTHCARE_UTILIZATION,0.039681356
PAST_A_OUTPATIENT_COUNT,0.036995538
PAST_A_ENCOUNTER_COUNT,0.035146568
PAST_B_ENCOUNTER_COUNT,0.03395016
PAST_MEDICATION_TO_ENCOUNTER_RATIO,0.033772346
PAST_A_CLINICAL_BURDEN,0.033758543
PAST_B_PROCEDURE_COUNT,0.03023344
PAST_CONDITION_COUNT_12M,0.023037324
GROWTH_ENCOUNTER_COUNT,0.014929511
PAST_A_CONDITION_COUNT,0.01484651
PAST_B_OBSERVATION_COUNT,0.014544013
PAST_INPATIENT_COUNT_12M,0.011932008
PAST_A_OBSERVATION_COUNT,0.010920299
GROWTH_OBSERVATION_COUNT,0.009398365
PAST_CONDITION_TO_ENCOUNTER_RATIO,0.009288931
CHANGE_PROCEDURE_COUNT,0.008785558
GROWTH_HEALTHCARE_UTILIZATION,0.008772447
GROWTH_CHRONIC_CONDITION_COUNT,0.008472963
PAST_B_OUTPATIENT_COUNT,0.008442657
CHANGE_CLINICAL_BURDEN,0.008335375
GENDER_M,0.008202456
PAST_B_CHRONIC_CONDITION_COUNT,0.007852188
COUNTY_Worcester County,0.007798219
GROWTH_PROCEDURE_COUNT,0.0074965847
PAST_CHRONIC_CONDITION_COUNT_12M,0.0072828284
CHANGE_HEALTHCARE_UTILIZATION,0.0072826254
GENDER_F,0.0071250363
GROWTH_CONDITION_COUNT,0.006672015
CHANGE_CONDITION_COUNT,0.0064469785
PAST_OBSERVATION_COUNT_12M,0.006360402
CHANGE_ENCOUNTER_COUNT,0.006288248
GROWTH_CLINICAL_BURDEN,0.006108564
CHANGE_OBSERVATION_COUNT,0.0060650343
PAST_A_CHRONIC_CONDITION_COUNT,0.0059101116
PAST_B_CONDITION_COUNT,0.0050740303
CHANGE_MEDICATION_COUNT,0.005013045
COUNTY_Suffolk County,0.0049903276
CHANGE_CHRONIC_CONDITION_COUNT,0.0039754626
PAST_ED_VISIT_COUNT_12M,0.002715966
GROWTH_MEDICATION_COUNT,0.0022250267
COUNTY_Middlesex County,0.0020147488
COUNTY_Norfolk County,0.0019238382
PAST_B_INPATIENT_COUNT,0.0018380778
COUNTY_Berkshire County,0.001831012
PAST_A_INPATIENT_COUNT,0.0014223692
COUNTY_Hampshire County,0.0012036506
COUNTY_Plymouth County,0.0010110094
PAST_B_ED_VISIT_COUNT,0.00079771236
PAST_A_ED_VISIT_COUNT,0.0007715604
COUNTY_Bristol County,0.000655028
COUNTY_Barnstable County,0.00061040017
COUNTY_Hampden County,0.0005808376
COUNTY_Essex County,0.0
COUNTY_Dukes County,0.0
STATE_California,0.0
COUNTY_Franklin County,0.0
